,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW,RECID,TIME,FILE
2,1,1,0,1,1,0,1,0,0,1,0,7,2,441,30,72,0,0,1
9,0,0,0,0,1,0,0,0,0,1,2,9,0,395,3,76,0,0,3
16,1,0,0,1,0,1,0,1,0,1,4,10,1,350,25,72,0,0,3
19,0,0,0,1,0,0,0,0,0,1,5,12,0,381,2,78,1,20,3
28,0,0,0,1,1,1,1,0,1,1,0,3,1,345,76,76,0,0,3
29,1,0,0,1,1,1,1,1,0,1,1,12,0,428,41,72,0,0,3
36,1,0,0,0,1,0,0,0,0,1,0,6,1,331,20,71,0,0,2
37,0,0,0,1,0,0,0,0,0,1,0,2,0,338,2,72,0,0,3
40,0,0,0,0,0,0,0,0,0,1,0,14,0,411,5,70,0,0,3
42,0,0,0,1,1,0,1,0,0,0,0,12,0,349,9,80,1,58,2
53,0,0,0,1,1,0,1,0,0,1,-9,15,0,350,33,80,0,0,3
54,0,0,0,0,1,0,0,0,0,1,2,8,0,399,6,74,0,0,2
55,0,1,0,1,0,0,0,0,0,1,0,12,2,327,28,73,0,0,1
56,0,0,0,1,1,0,0,0,0,1,0,13,0,336,12,79,0,0,3
59,1,0,0,1,0,1,0,1,0,1,-9,12,1,378,40,72,0,0,3
60,0,0,0,1,0,1,1,1,0,1,5,10,3,353,73,73,1,20,2
62,0,0,0,1,0,1,1,1,0,1,-9,12,2,330,44,71,0,0,3
67,0,0,0,1,0,1,1,0,0,0,1,9,2,361,33,71,0,0,2
70,1,0,0,1,1,0,0,0,0,1,2,10,0,388,14,73,1,54,1
74,0,0,0,0,0,0,0,0,0,1,1,6,0,423,5,71,1,7,2
76,0,0,0,1,1,1,1,0,1,1,1,12,4,503,132,74,0,0,3
79,0,0,0,1,1,1,1,1,0,1,0,6,0,344,63,81,0,0,3
80,0,1,0,1,0,0,1,0,0,1,0,12,0,370,8,71,0,0,2
81,1,0,1,1,1,0,1,0,0,1,7,10,0,382,36,81,0,0,2
82,0,0,0,1,1,1,1,0,0,1,0,11,2,430,32,73,1,60,1
84,1,0,1,1,0,1,1,1,0,1,4,8,0,455,33,72,0,0,2
86,0,1,0,1,1,0,1,0,0,1,0,6,0,417,4,70,0,0,1
87,0,0,0,0,1,0,0,0,0,1,0,11,1,433,2,80,0,0,2
88,0,1,0,0,1,0,0,0,0,1,1,12,0,469,7,72,1,54,2
97,0,0,0,1,0,0,1,0,0,1,2,11,0,353,25,78,1,65,3
98,0,0,0,1,1,0,1,0,0,1,2,12,0,419,10,71,0,0,2
99,0,1,0,0,1,1,1,1,0,1,0,10,5,316,43,76,0,0,1
100,0,0,0,1,1,0,0,0,0,1,5,7,0,430,2,78,0,0,3
101,0,1,0,1,0,1,0,1,0,0,0,15,1,352,14,81,0,0,2
103,1,0,0,1,1,0,1,0,0,1,1,10,1,403,5,71,1,4,3
106,0,0,0,1,1,1,0,0,0,1,1,10,10,374,63,73,1,64,3
108,1,0,0,0,0,0,0,0,0,1,-9,0,0,336,0,78,1,7,3
113,1,0,0,1,0,0,0,0,0,1,0,10,0,406,2,71,1,42,3
114,0,0,0,1,0,0,0,0,0,1,-9,9,0,336,2,78,1,13,3
118,0,1,0,1,1,1,1,1,0,1,2,12,1,488,62,72,1,3,2
119,1,0,0,1,1,0,0,0,0,1,8,8,0,479,3,79,1,49,3
121,0,0,0,1,1,0,1,0,0,1,2,10,3,490,96,75,0,0,3
130,0,0,0,1,0,0,0,0,0,1,0,9,0,345,2,71,0,0,3
133,0,0,0,1,0,1,1,1,0,1,-9,12,0,352,35,71,1,44,3
136,0,0,0,0,1,0,0,0,0,1,0,6,0,408,14,78,1,9,3
145,0,0,0,0,0,0,1,0,0,1,4,8,0,427,6,80,1,54,3
146,1,0,0,0,0,1,1,1,0,1,10,8,5,441,50,77,1,4,2
151,0,0,0,1,0,0,1,1,0,1,0,14,0,379,8,75,0,0,3
152,0,0,0,0,1,0,1,0,0,1,-9,15,0,365,4,76,0,0,3
154,1,0,0,0,0,0,1,1,0,1,1,7,0,420,7,79,0,0,3
155,1,1,0,1,0,0,1,0,0,1,0,14,1,472,25,77,0,0,1
158,0,1,0,1,1,0,0,0,0,1,3,12,1,378,24,75,0,0,2
163,1,0,1,1,0,0,1,0,0,1,5,10,1,475,19,76,1,3,2
167,0,0,0,1,1,1,0,0,1,1,0,14,1,441,74,74,0,0,3
176,0,1,0,1,1,0,0,0,0,1,0,9,0,414,6,70,0,0,1
178,0,0,0,0,0,0,0,0,0,1,6,8,1,362,29,70,0,0,2
180,1,0,0,1,0,0,0,0,0,1,0,11,0,396,1,79,0,0,3
183,0,0,0,1,0,1,1,1,0,1,3,12,0,405,18,75,1,39,2
189,0,0,0,1,1,0,0,0,0,1,2,12,0,377,2,79,1,14,3
190,1,0,0,1,1,1,1,1,0,1,9,6,2,503,91,81,0,0,3
192,0,1,1,1,1,0,1,0,0,1,0,9,0,335,10,77,1,26,2
193,0,0,0,1,0,0,1,0,0,1,0,12,0,330,19,75,0,0,1
196,0,0,0,0,0,1,1,0,0,1,1,14,0,351,30,76,1,7,2
198,1,0,1,1,0,1,0,1,0,1,0,10,0,314,29,76,1,35,1
204,0,0,1,1,0,0,0,0,0,1,0,10,0,361,17,75,0,0,2
209,0,0,0,1,0,0,1,0,0,1,2,8,0,385,14,76,0,0,3
211,0,0,0,0,1,0,0,0,0,1,3,6,7,365,102,81,0,0,3
214,0,1,1,0,0,1,0,0,1,1,8,7,1,446,32,76,0,0,1
216,1,0,0,1,0,0,1,0,0,1,5,8,0,465,3,76,1,26,3
218,1,0,0,1,0,1,1,0,1,1,0,10,0,343,12,73,0,0,3
