,NoDefaultNextMonth,Married,Single,Age,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments
0,0,1,0,1,2,120,20,0,6,0,120,0,1,4,1
1,0,0,1,0,2,110,60,0,6,0,80,0,2,4,1
21,0,1,0,0,2,20,20,1,6,0,10,10,0,0,0
26,0,0,1,0,3,10,30,3,6,0,0,0,1,1,1
38,0,0,1,0,3,20,20,1,6,0,0,20,1,1,1
47,0,0,1,0,0,140,40,0,6,0,140,30,0,0,0
55,1,1,0,0,3,110,110,2,6,0,60,110,0,0,0
58,1,0,1,0,3,50,40,1,6,0,50,0,1,11,1
64,1,1,0,0,2,70,70,1,6,0,0,0,0,0,0
67,1,0,1,0,3,130,130,3,6,0,10,10,1,2,1
70,1,0,1,0,3,20,10,1,6,0,20,0,0,0,0
73,1,0,1,0,3,100,100,2,6,0,0,0,1,1,1
77,1,1,0,0,3,10,10,0,6,0,10,10,0,0,0
86,0,1,0,0,3,40,40,1,6,0,10,40,1,2,1
93,1,1,0,0,2,50,240,2,6,0,30,50,0,0,0
107,1,0,1,0,3,160,160,4,6,0,20,70,0,0,0
116,1,0,1,0,3,170,170,2,6,0,10,10,0,0,0
131,1,0,1,0,3,100,100,3,6,0,0,80,1,1,1
138,0,1,0,0,1,180,180,1,6,0,20,10,0,0,0
141,1,0,1,0,2,60,110,4,6,0,60,0,0,0,0
152,1,0,1,0,3,90,90,1,6,0,10,90,1,1,1
161,1,0,1,0,2,30,30,2,6,0,10,10,2,4,1
162,1,1,0,0,1,40,20,1,6,0,40,10,0,0,0
171,1,0,1,0,3,130,130,2,6,0,20,100,0,0,0
196,1,1,0,0,2,50,50,1,6,0,0,0,0,0,0
198,1,1,0,0,3,70,480,2,6,0,10,0,0,0,0
206,1,1,0,0,3,40,70,2,6,0,10,40,0,0,0
207,0,1,0,0,2,110,110,2,6,0,90,50,0,0,0
211,0,1,0,0,3,40,290,4,6,0,0,0,1,1,1
215,1,1,0,0,1,40,40,1,6,0,10,10,1,2,1
219,1,0,1,0,3,140,140,1,6,0,40,140,0,0,0
226,1,1,0,0,1,100,80,0,6,0,100,80,0,0,0
